network_id	PC1_Variance
random_0	0.3516685105250758
random_1	0.4511934322624164
random_2	0.3436742895088783
random_3	0.3860077068421862
random_4	0.41075813181681015
random_5	0.3065831980110488
random_6	0.5323107636443102
random_7	0.3461764406998895
random_8	0.4061785764168025
random_9	0.42687487879896885
random_10	0.3269184242130422
random_11	0.37163170652391614
random_12	0.39229084989992524
random_13	0.37683619418405817
random_14	0.3594007218111394
random_15	0.45313485222674105
random_16	0.3199723027778249
random_17	0.31688169981451614
random_18	0.3198595682967801
random_19	0.37756586877084797
random_20	0.44411427006879506
random_21	0.3933322248779456
random_22	0.3551376806117244
random_23	0.5123155643457683
random_24	0.27466979195241276
random_25	0.3341117636547637
random_26	0.41036171137269045
random_27	0.43765229419332424
random_28	0.2929900758228688
random_29	0.5558309554109451
random_30	0.46382831602892866
random_31	0.3190355307373034
random_32	0.37751465320259225
random_33	0.4406961526112961
random_34	0.39009588258723205
random_35	0.4495047487239474
random_36	0.31149040936823486
random_37	0.3598397430886897
random_38	0.5809947582843747
random_39	0.38259444095155815
random_40	0.36699500673329755
random_41	0.3560154431291556
random_42	0.3961954930247354
random_43	0.34540550061299957
random_44	0.3001441674729392
random_45	0.26099280791776497
random_46	0.41658924878066095
random_47	0.46426344455391877
random_48	0.35682880454240706
random_49	0.4602717357887863
random_50	0.5661670027528969
random_51	0.340960149947301
random_52	0.2888660778291826
random_53	0.4373713301626896
random_54	0.33108750691024713
random_55	0.37808361086047665
random_56	0.5030440496835811
random_57	0.3304626099611738
random_58	0.4567642783287008
random_59	0.37905381004263344
random_60	0.4452098636121168
random_61	0.37953226763232883
random_62	0.35628752266194536
random_63	0.3473616415531678
random_64	0.2813279030425621
random_65	0.37955542945621323
random_66	0.325107978231545
random_67	0.4615578961754299
random_68	0.39379423602996316
random_69	0.28387848597145726
random_70	0.49549467212174003
random_71	0.39276608381327205
random_72	0.33925076623602873
random_73	0.33433906453564877
random_74	0.42042758954682957
random_75	0.34405609316911384
random_76	0.3641090395210399
random_77	0.2887836916024848
random_78	0.33031081772952436
random_79	0.4091490678488563
random_80	0.3312296870481784
random_81	0.41958030752106534
random_82	0.4200615580973073
random_83	0.368640073402204
random_84	0.3158708656617326
random_85	0.3588720391975375
random_86	0.3625274202921861
random_87	0.37620508678587194
random_88	0.3478628392224225
random_89	0.4849248994337589
random_90	0.3928837042817955
random_91	0.41138072525186953
random_92	0.24272061262297126
random_93	0.4116823992471352
random_94	0.3295468149527944
random_95	0.43391024502037373
random_96	0.35159900184541665
random_97	0.36624124233997085
random_98	0.4203966491699746
random_99	0.4358659593673792
random_100	0.41782408300954715
random_101	0.5195767640229222
random_102	0.35646165196872465
random_103	0.2916223521190759
random_104	0.35983271103069525
random_105	0.37429441376606637
random_106	0.36900250966198284
random_107	0.36643491423491464
random_108	0.43475257169753345
random_109	0.5069852712375482
random_110	0.2736923552215636
random_111	0.27826870540968507
random_112	0.4064395230677449
random_113	0.39877150561015096
random_114	0.348007385678846
random_115	0.5062182802476214
random_116	0.3700712741302531
random_117	0.32179979336453857
random_118	0.3518264286554954
random_119	0.47021983407148654
random_120	0.38483203939134597
random_121	0.5149986905494969
random_122	0.40652758475267065
random_123	0.5371238728545401
random_124	0.34641284298577935
random_125	0.2686468044128966
random_126	0.4280131442742966
random_127	0.3326380872432811
random_128	0.36413469194902354
random_129	0.30408486857001044
random_130	0.49049022659032704
random_131	0.3202050177514064
random_132	0.42193336842140433
random_133	0.3218246502413228
random_134	0.3677068337953759
random_135	0.3803203424028232
random_136	0.2851551544700507
random_137	0.2957275306454975
random_138	0.28648695361727267
random_139	0.30892927129929
random_140	0.3939702939822254
random_141	0.487341465574844
random_142	0.34966435632061005
random_143	0.4758569890992609
random_144	0.3034765216660619
random_145	0.44464198268432154
random_146	0.2872142525941465
random_147	0.4863308335584318
random_148	0.2762667959059337
random_149	0.300619114369977
random_150	0.3361191304184915
random_151	0.3025200576353249
random_152	0.447195118259275
random_153	0.2953614303961492
random_154	0.3170077563476016
random_155	0.342010809433727
random_156	0.301438167208797
random_157	0.4085037590014831
random_158	0.3716102878962846
random_159	0.3808851362246055
random_160	0.31143192267156
random_161	0.3070800105700299
random_162	0.3854123454580867
random_163	0.33463085971078704
random_164	0.39892885156600855
random_165	0.5914299639473831
random_166	0.3768152251404613
random_167	0.41503262498135896
random_168	0.4022215181031117
random_169	0.403146738070655
random_170	0.3245799501752659
random_171	0.3434262972750356
random_172	0.2763784563775785
random_173	0.3813296937401052
random_174	0.43467199431198345
random_175	0.4691007087553521
random_176	0.3119809169407256
random_177	0.49675287352644787
random_178	0.3906618382417482
random_179	0.36064609796373676
random_180	0.34158268323872587
random_181	0.3497580861522352
random_182	0.503152033772882
random_183	0.3373620979814486
random_184	0.4500985192560394
random_185	0.3669747546146099
random_186	0.4049627955968289
random_187	0.4115363215031017
random_188	0.38546038895598195
random_189	0.3067886328338287
random_190	0.4778627854236091
random_191	0.4865280283819068
random_192	0.3464755186226913
random_193	0.35222335025172014
random_194	0.3317695621892213
random_195	0.381377421158936
random_196	0.2955800760139592
random_197	0.32563492519285325
random_198	0.32951508317589656
random_199	0.3221131843220119
random_200	0.49766118037342477
random_201	0.44686557323760884
random_202	0.30535029010644915
random_203	0.3509333815087245
random_204	0.46347674520702786
random_205	0.45484935536256393
random_206	0.5325024923671611
random_207	0.534066968242437
random_208	0.43380436587246757
random_209	0.46092149048669545
random_210	0.3271566899465957
random_211	0.4364777189484134
random_212	0.3060273124972254
random_213	0.3477401737121009
random_214	0.33010227053866553
random_215	0.33926702439400913
random_216	0.2761229186293098
random_217	0.37969242141447085
random_218	0.40943597457755787
random_219	0.3691295704820054
random_220	0.4256948213581678
random_221	0.3221054765127593
random_222	0.3458169501722856
random_223	0.35865540508610316
random_224	0.316427022133219
random_225	0.38632799749234936
random_226	0.27692109163815914
random_227	0.42717876690412454
random_228	0.5009104347350691
random_229	0.26697735459739824
random_230	0.3462196534033769
random_231	0.39465195524473856
random_232	0.4196090455157525
random_233	0.38896485595800706
random_234	0.5136183817180195
random_235	0.33997735006123775
random_236	0.5365337304606969
random_237	0.337134144172694
random_238	0.5413092087260715
random_239	0.4254178099246526
random_240	0.4392846576811251
random_241	0.3350397970396201
random_242	0.42568152077021704
random_243	0.3354473824169789
random_244	0.49172979623473884
random_245	0.2901330852588247
random_246	0.33281083848521475
random_247	0.5399425069413336
random_248	0.42382053359979616
random_249	0.32292155745570866
random_250	0.2981672518017613
random_251	0.32115627028241195
random_252	0.43886020021197936
random_253	0.2870127148161542
random_254	0.3585120879906602
random_255	0.3550667528510465
random_256	0.3907129745801173
random_257	0.33536695837245634
random_258	0.3480737429492204
random_259	0.3850325731648459
random_260	0.3701925744566223
random_261	0.4826846239007402
random_262	0.31490564997680753
random_263	0.3419215029497
random_264	0.36140905083977937
random_265	0.5361324649335614
random_266	0.4362371433454291
random_267	0.3200416526860975
random_268	0.34095325005548516
random_269	0.28656575403384343
random_270	0.33478624340864316
random_271	0.30922252476009837
random_272	0.4242717070620059
random_273	0.31023602469132966
random_274	0.5445010762733093
random_275	0.29478662345966483
random_276	0.31982036686552967
random_277	0.3223061048306466
random_278	0.34518495806206667
random_279	0.4895210927895915
random_280	0.42813223171383114
random_281	0.3549752477601085
random_282	0.4549297060504942
random_283	0.40737349186148275
random_284	0.5643804476389123
random_285	0.3484315452898031
random_286	0.48667186142069657
random_287	0.4457151876567752
random_288	0.33470994689001465
random_289	0.37225727255583474
random_290	0.33503105637305125
random_291	0.44486963210460634
random_292	0.443559087675102
random_293	0.35451399488503293
random_294	0.5280664136620926
random_295	0.30189624550523797
random_296	0.3533159898861908
random_297	0.23893430331468232
random_298	0.49255876059565945
random_299	0.41170905042344047
random_300	0.5321657609992316
random_301	0.2747253689267206
random_302	0.4060218067222362
random_303	0.4842688699666112
random_304	0.44542592688834
random_305	0.28686325148229835
random_306	0.3477658342409055
random_307	0.3749767438746512
random_308	0.23960960653578217
random_309	0.295269607109662
random_310	0.3951115545149122
random_311	0.40364099476015336
random_312	0.4495643334376529
random_313	0.4805168762072583
random_314	0.41457733195285235
random_315	0.46065779325960365
random_316	0.43400225463281933
random_317	0.36739382312124935
random_318	0.5195314839934905
random_319	0.2908315578220354
random_320	0.3683669924804497
random_321	0.390408318729306
random_322	0.3529946760674943
random_323	0.3894884770600798
random_324	0.3943932063920692
random_325	0.4076902666453868
random_326	0.390602937144919
random_327	0.5076698824202233
random_328	0.3488331080039102
random_329	0.5588301897508005
random_330	0.414726620954111
random_331	0.3755935728686383
random_332	0.2894317598910368
random_333	0.3914542674559801
random_334	0.5309384710924264
random_335	0.391145507332382
random_336	0.39858913239503
random_337	0.26800706212564834
random_338	0.6941127741315471
random_339	0.3228916976481884
random_340	0.4666708529301015
random_341	0.3820955272322052
random_342	0.5091186472375476
random_343	0.4127016251760483
random_344	0.524096336298724
random_345	0.37499876485983696
random_346	0.4342795550957154
random_347	0.4001493389632244
random_348	0.383645341825936
random_349	0.37977763187866487
random_350	0.3688363508361744
random_351	0.3907740588693234
random_352	0.42105646849073697
random_353	0.3690034933324961
random_354	0.4200310531256037
random_355	0.35023565612932017
random_356	0.362291985854383
random_357	0.4466657528757517
random_358	0.2910690255005279
random_359	0.38940955907097957
random_360	0.3909956122775978
random_361	0.35979865522052185
random_362	0.3522184994869681
random_363	0.3311969985833735
random_364	0.2812066255546212
random_365	0.4208268557779253
random_366	0.29928846094737677
random_367	0.3011976283728613
random_368	0.4554026332464655
random_369	0.50402550630576
random_370	0.40598491917458535
random_371	0.39137662066227097
random_372	0.3963947903306714
random_373	0.41030860923697826
random_374	0.43333520580526746
random_375	0.35699790146382065
random_376	0.2607815890604959
random_377	0.39960001580484217
random_378	0.35152872960372067
random_379	0.36108521383536224
random_380	0.2956607067693941
random_381	0.36530072401957625
random_382	0.3740361061097651
random_383	0.39055807827577044
random_384	0.4340196180508196
random_385	0.35977308974056954
random_386	0.4639248047534719
random_387	0.2794441297073061
random_388	0.31736873635968044
random_389	0.34035720376765616
random_390	0.40906479331871215
random_391	0.34178215091450564
random_392	0.38091317303188343
random_393	0.3458515661704952
random_394	0.3429860029524409
random_395	0.3350429372212925
random_396	0.42649584543691804
random_397	0.4240317995302018
random_398	0.39236834487322886
random_399	0.4410704467456524
random_400	0.42907070009657095
random_401	0.37929496334121204
random_402	0.26298915437103876
random_403	0.34473170604568465
random_404	0.3152150630165284
random_405	0.3510970076268543
random_406	0.31102529570335585
random_407	0.2941892882195635
random_408	0.3586726493568149
random_409	0.404135737638035
random_410	0.4995831752244955
random_411	0.34197799102900567
random_412	0.413725840261219
random_413	0.46822646984019717
random_414	0.3539642333046032
random_415	0.4082831137448823
random_416	0.35326985673119743
random_417	0.5527706154997502
random_418	0.4483975386580899
random_419	0.33576656911465413
random_420	0.4653716953391524
random_421	0.5108069957183871
random_422	0.4107976041742507
random_423	0.39275584425617005
random_424	0.5238581523226138
random_425	0.37192452755688804
random_426	0.3306774520930252
random_427	0.3342256226413649
random_428	0.4817384967567102
random_429	0.41706967977124004
random_430	0.37640914771396733
random_431	0.49813703806348136
random_432	0.29154204078881174
random_433	0.28593499600700234
random_434	0.3582411117959855
random_435	0.4460939198819602
random_436	0.3655188699139918
random_437	0.4299627146558327
random_438	0.30262274316147864
random_439	0.45516919540445805
random_440	0.2890710447745693
random_441	0.4288789219142554
random_442	0.3168784346101093
random_443	0.31022245738490184
random_444	0.41944582696424704
random_445	0.3013779874831954
random_446	0.4781533185746242
random_447	0.41949668730027867
random_448	0.2991514490119043
random_449	0.5128281146768692
random_450	0.28624516256250265
random_451	0.35593567201077597
random_452	0.3681310018066748
random_453	0.2911335519465383
random_454	0.2596587239068415
random_455	0.46962311541149093
random_456	0.37264930341458086
random_457	0.3671411867998353
random_458	0.28369516573690456
random_459	0.3953215330093328
random_460	0.5049031656751133
random_461	0.3906823720409881
random_462	0.2722572033802947
random_463	0.5465819145021595
random_464	0.2766495508541186
random_465	0.4418227434995102
random_466	0.2792610959621826
random_467	0.26342084914148767
random_468	0.4737972239927414
random_469	0.3903109500853211
random_470	0.41118635051227126
random_471	0.4540932334254466
random_472	0.33699285775740456
random_473	0.36295715421518204
random_474	0.43492407781600595
random_475	0.3240284477914567
random_476	0.4662977895453458
random_477	0.37546537355932935
random_478	0.3342151750551039
random_479	0.5142859640567103
random_480	0.3638100221134992
random_481	0.6492873632277237
random_482	0.4050754083752664
random_483	0.3519235961480256
random_484	0.3622092243787453
random_485	0.24006460955779013
random_486	0.33638700472675165
random_487	0.3769056302230469
random_488	0.3128273812680115
random_489	0.23991541285915044
random_490	0.3364617798658993
random_491	0.3422133617885773
random_492	0.4421849174793134
random_493	0.3494058635600084
random_494	0.575966234094571
random_495	0.3403429427686301
random_496	0.32973060017459815
random_497	0.5263001274343774
random_498	0.4181241813477656
random_499	0.3803075333484152
