	SLUG	SNAIL	KLF4	mir200	ELF3	ZEB	IRF6	CDH1	GRHL2
random_0	0.2588542567220989	-0.05576841662939025	0.39712510392474926	0.27910950089049225	-0.2697819151211058	0.42277637167279825	-0.46225987792956574	-0.4427499165085458	0.18176927778342655
random_1	-0.2660555540986354	0.34438114840217393	0.20451934379043843	-0.3972102846189335	-0.29986579419279324	-0.37848283374813985	0.26325438536111456	0.3957614417651635	-0.38976038074456254
random_2	-0.121022109561852	-0.3668558753592621	0.4251606901501226	0.23374402553942075	0.21150702438453534	-0.45637030545333584	0.3607039071340937	0.2208839846162119	-0.42832979518354725
random_3	-0.3220947874352242	0.03761604382982042	-0.3991536627592814	0.25117943503016893	0.3409584299105619	0.4124843075582748	-0.3891627386374922	-0.30124282654431206	-0.379255050698448
random_4	0.4687855128598508	-0.34607581705574086	-0.4297357542892103	-0.4608402509948667	-0.17530245836501188	-0.3518458910840873	-0.10603140027366292	0.1754811772750937	0.2585775162827987
random_5	0.46683789514238755	-0.32357452555631094	-0.18803936819126935	0.3137572931716689	-0.0763233079939438	-0.5009943473632904	-0.27960615821524215	-0.27658126074542116	0.36340347015587027
random_6	0.28523776217341174	0.3919818077437014	0.016541563336970017	0.4054930415710706	-0.3728192393327324	-0.35941678571791974	0.38180559983377604	-0.24661289483470486	-0.3542928228351152
random_7	-0.07664092689455806	0.17907937955927666	-0.0774834041126363	0.4405448231447486	-0.04024166989345996	-0.4334641389500071	-0.4705263408142039	-0.38306221168495613	0.4520299523885868
random_8	0.21965946469647354	-0.25738596942788683	-0.0528863157960299	-0.25243834468461873	-0.32401785211297734	0.42621810493970597	-0.4573582766029094	-0.40072836479453194	-0.4032007503105035
random_9	-0.3495698272000552	0.42466389430184603	-0.2855423325716455	-0.41493043689296	-0.4452530029211989	0.08694473416204697	-0.37216956453163286	0.05916614051896543	0.3097408292115289
random_10	-0.4363924658897207	-0.4436831246079701	0.4058306554246674	0.37166684549701423	-0.09212098370303858	0.44348664091772216	0.11856780288134816	0.29558294085989867	-0.05725260352406593
random_11	0.39739976210091493	0.22929935458066442	-0.3296320056796712	-0.06869776886047171	-0.3993185926194176	0.037299918713720806	0.40477448442577313	-0.42578620399680334	-0.41247508452324383
random_12	0.07121174907761935	0.09018715232058756	-0.27415389699020637	0.30582016489043073	0.28394849279935463	0.45044831363308985	0.47394708603256397	-0.30599915970532693	-0.4650989958536127
random_13	-0.19044836716214425	-0.23797291032093848	0.4608562471987687	0.27422429053753056	0.4266889672743135	-0.4556699204240044	-0.47280001270460265	-0.04519655317035572	0.0650364489414938
random_14	0.43066260900263026	0.4310157803676241	-0.42722921567252226	-0.40251773273255903	-0.029657012074492367	0.37916186928116424	0.08007221707870177	-0.027052611112391416	0.3638998779814935
random_15	-0.4127011787181253	0.38520087330804487	0.35650182188695845	-0.1336913885600581	0.4280278556999285	0.415435422309461	-0.09411029938949927	-0.30871763579985934	-0.27635724241278103
